"","Department","Position","Place.of.Residence","PositionID"
"184","Administrative Services, Department of","HVAC TECHNICIAN","KEOKUK",184
"185","Administrative Services, Department of","HVAC TECHNICIAN","MADISON",185
"186","Administrative Services, Department of","HVAC TECHNICIAN","POLK",186
"187","Administrative Services, Department of","HVAC TECHNICIAN","WARREN",187
"188","Administrative Services, Department of","INFO SPECIALIST 1","POLK",188
"189","Administrative Services, Department of","INFO SPECIALIST 2","POLK",189
"190","Administrative Services, Department of","INFO TECH ADMIN 1","POLK",190
"191","Administrative Services, Department of","INFO TECH ADMIN 2","POLK",191
"192","Administrative Services, Department of","INFO TECH ADMIN 3","POLK",192
"193","Administrative Services, Department of","INFO TECH ADMIN 3","STORY",193
"194","Administrative Services, Department of","INFO TECH ADMIN 3","WARREN",194
"195","Administrative Services, Department of","INFO TECH ADMIN 4","LINN",195
"196","Administrative Services, Department of","INFO TECH ADMIN 4","POLK",196
"197","Administrative Services, Department of","INFO TECH ADMIN 4","STORY",197
"198","Administrative Services, Department of","INFO TECH ADMIN 4","WARREN",198
"199","Administrative Services, Department of","INFO TECH ENTERPRISE EXP","JASPER",199
"200","Administrative Services, Department of","INFO TECH ENTERPRISE EXP","POLK",200
"201","Administrative Services, Department of","INFO TECH SPECIALIST 2","MARION",201
"202","Administrative Services, Department of","INFO TECH SPECIALIST 2","POLK",202
"203","Administrative Services, Department of","INFO TECH SPECIALIST 3","JASPER",203
"204","Administrative Services, Department of","INFO TECH SPECIALIST 3","POLK",204
"205","Administrative Services, Department of","INFO TECH SPECIALIST 3","WARREN",205
"206","Administrative Services, Department of","INFO TECH SPECIALIST 4","BOONE",206
"207","Administrative Services, Department of","INFO TECH SPECIALIST 4","JASPER",207
"208","Administrative Services, Department of","INFO TECH SPECIALIST 4","MARION",208
"209","Administrative Services, Department of","INFO TECH SPECIALIST 4","POLK",209
"210","Administrative Services, Department of","INFO TECH SPECIALIST 4","STORY",210
"211","Administrative Services, Department of","INFO TECH SPECIALIST 4","WARREN",211
"212","Administrative Services, Department of","INFO TECH SPECIALIST 5","",212
"213","Administrative Services, Department of","INFO TECH SPECIALIST 5","CLARKE",213
"214","Administrative Services, Department of","INFO TECH SPECIALIST 5","JASPER",214
"215","Administrative Services, Department of","INFO TECH SPECIALIST 5","MAHASKA",215
"216","Administrative Services, Department of","INFO TECH SPECIALIST 5","MARION",216
"217","Administrative Services, Department of","INFO TECH SPECIALIST 5","POLK",217
"218","Administrative Services, Department of","INFO TECH SPECIALIST 5","STORY",218
"219","Administrative Services, Department of","INFO TECH SPECIALIST 5","WARREN",219
"220","Administrative Services, Department of","INFO TECH SUPPORT WORKER","JASPER",220
"221","Administrative Services, Department of","INFO TECH SUPPORT WORKER","POLK",221
"222","Administrative Services, Department of","INSURANCE PROGRAM SPECIA","UNION",222
"223","Administrative Services, Department of","LOCKSMITH","DALLAS",223
"224","Administrative Services, Department of","MAIL CLERK 1","POLK",224
"225","Administrative Services, Department of","MAIL CLERK 2","POLK",225
"226","Administrative Services, Department of","MAINTENANCE ENGINEER","MARSHALL",226
"227","Administrative Services, Department of","MAINTENANCE ENGINEER","POLK",227
"228","Administrative Services, Department of","MAINTENANCE LEADER","POLK",228
"229","Administrative Services, Department of","MAINTENANCE REPAIRER","MADISON",229
"230","Administrative Services, Department of","MAINTENANCE REPAIRER","POLK",230
"231","Administrative Services, Department of","MAINTENANCE REPAIRS SUPV","DALLAS",231
"232","Administrative Services, Department of","MAINTENANCE REPAIRS SUPV","POLK",232
"233","Administrative Services, Department of","MAINTENANCE WORKER 2","LUCAS",233
"234","Administrative Services, Department of","MAINTENANCE WORKER 2","POLK",234
"235","Administrative Services, Department of","MAINTENANCE WORKER 2","WARREN",235
"236","Administrative Services, Department of","MANAGEMENT ANALYST 2","POLK",236
"237","Administrative Services, Department of","MANAGEMENT ANALYST 2","WEBSTER",237
"238","Administrative Services, Department of","MANAGEMENT ANALYST 4","POLK",238
"239","Administrative Services, Department of","MECHANIC","BOONE",239
"240","Administrative Services, Department of","MECHANIC","DALLAS",240
"241","Administrative Services, Department of","MECHANIC","POLK",241
"242","Administrative Services, Department of","MECHANIC","STORY",242
"243","Administrative Services, Department of","MECHANIC","WARREN",243
"244","Administrative Services, Department of","MECHANIC","WEBSTER",244
"245","Administrative Services, Department of","NURSERY WORKER 1","POLK",245
"246","Administrative Services, Department of","NURSERY WORKER 2","POLK",246
"247","Administrative Services, Department of","PAINTER 1","POLK",247
"248","Administrative Services, Department of","PAINTER 2","POLK",248
"249","Administrative Services, Department of","PERFORMANCE RESULTS ADMI","POLK",249
"250","Administrative Services, Department of","PERSONNEL ASSISTANT","CLARKE",250
"251","Administrative Services, Department of","PERSONNEL MGMT PROG COOR","DALLAS",251
"252","Administrative Services, Department of","PERSONNEL MGMT PROG COOR","POLK",252
"253","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","",253
"254","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","DALLAS",254
"255","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","JASPER",255
"256","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","JOHNSON",256
"257","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","MILLS",257
"258","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","MITCHELL",258
"259","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","POLK",259
"260","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","STORY",260
"261","Administrative Services, Department of","PERSONNEL MGMT SPEC ADVA","WOODBURY",261
"262","Administrative Services, Department of","PERSONNEL MGMT SPECIALIS","POLK",262
"263","Administrative Services, Department of","PERSONNEL MGMT SPECIALIS","STORY",263
"264","Administrative Services, Department of","PHYSICIAN","CHEROKEE",264
"265","Administrative Services, Department of","PLANT OPERATIONS MANAGER","GUTHRIE",265
"266","Administrative Services, Department of","PLUMBER 1","POLK",266
"267","Administrative Services, Department of","POWER PLANT ENGINEER 1","POLK",267
"268","Administrative Services, Department of","POWER PLANT ENGINEER 2","JASPER",268
"269","Administrative Services, Department of","POWER PLANT ENGINEER 2","POLK",269
"270","Administrative Services, Department of","POWER PLANT ENGINEER 3","POLK",270
"271","Administrative Services, Department of","POWER PLANT ENGINEER 4","KEOKUK",271
"272","Administrative Services, Department of","POWER PLANT ENGINEER 4","POLK",272
"273","Administrative Services, Department of","PROGRAM PLANNER 1","POLK",273
"274","Administrative Services, Department of","PROGRAM PLANNER 2","POLK",274
"275","Administrative Services, Department of","PROGRAM PLANNER 3","WARREN",275
"276","Administrative Services, Department of","PUBLIC SERVICE EXECUTIVE","BOONE",276
"277","Administrative Services, Department of","PUBLIC SERVICE EXECUTIVE","DALLAS",277
"278","Administrative Services, Department of","PUBLIC SERVICE EXECUTIVE","JASPER",278
"279","Administrative Services, Department of","PUBLIC SERVICE EXECUTIVE","POLK",279
"280","Administrative Services, Department of","PUBLIC SERVICE EXECUTIVE","WARREN",280
"281","Administrative Services, Department of","PUBLIC SERVICE SUPERVISO","DALLAS",281
"282","Administrative Services, Department of","PUBLIC SERVICE SUPERVISO","MAHASKA",282
"283","Administrative Services, Department of","PUBLIC SERVICE SUPERVISO","POLK",283
"284","Administrative Services, Department of","PUBLIC SERVICE SUPERVISO","WARREN",284
"285","Administrative Services, Department of","PURCHASING AGENT 1","POLK",285
"286","Administrative Services, Department of","PURCHASING AGENT 3","JASPER",286
"287","Administrative Services, Department of","PURCHASING AGENT 3","POLK",287
"288","Administrative Services, Department of","PURCHASING AGENT 3","STORY",288
"289","Administrative Services, Department of","PURCHASING AGENT 3","WARREN",289
"290","Administrative Services, Department of","PURCHASING AGENT SUPERVI","POLK",290
"291","Administrative Services, Department of","REPRODUCTION EQUIPMENT L","MARION",291
"292","Administrative Services, Department of","REPRODUCTION EQUIPMENT O","POLK",292
"293","Administrative Services, Department of","RETIRE BENEFITS OFFICER","POLK",293
"294","Administrative Services, Department of","SAFETY OFFICER","POLK",294
"295","Administrative Services, Department of","SAFETY/HEALTH CONSULTANT","POLK",295
"296","Administrative Services, Department of","SECRETARY 1","",296
"297","Administrative Services, Department of","SECRETARY 1","POLK",297
"298","Administrative Services, Department of","SECRETARY 2","POLK",298
"299","Administrative Services, Department of","SERIP RETIREE","",299
"300","Administrative Services, Department of","SERIP RETIREE","JASPER",300
"301","Administrative Services, Department of","SERIP RETIREE","MADISON",301
"302","Administrative Services, Department of","SERIP RETIREE","MARION",302
"303","Administrative Services, Department of","SERIP RETIREE","POLK",303
"304","Administrative Services, Department of","SERIP RETIREE","STORY",304
"305","Administrative Services, Department of","SERIP RETIREE","WARREN",305
"306","Administrative Services, Department of","SLIP RETIREE","",306
"307","Administrative Services, Department of","SLIP RETIREE","CLARKE",307
"308","Administrative Services, Department of","SLIP RETIREE","GUTHRIE",308
"309","Administrative Services, Department of","SLIP RETIREE","MADISON",309
"310","Administrative Services, Department of","SLIP RETIREE","POLK",310
"311","Administrative Services, Department of","SLIP RETIREE","STORY",311
"312","Administrative Services, Department of","SLIP RETIREE","WARREN",312
"313","Administrative Services, Department of","STOREKEEPER 1","POLK",313
"314","Administrative Services, Department of","TRADES HELPER","MARSHALL",314
"315","Administrative Services, Department of","TRADES HELPER","POLK",315
"316","Administrative Services, Department of","TRAINING SPECIALIST 2","BOONE",316
"317","Administrative Services, Department of","TRAINING SPECIALIST 2","POLK",317
"318","Administrative Services, Department of","UTILITY WORKER","POLK",318
"319","Administrative Services, Department of","VEHICLE DISPATCHER","POLK",319
"320","Administrative Services, Department of","VEHICLE DISPATCHER","WARREN",320
"321","Administrative Services, Department of","VEHICLE FLEET SUPERVISOR","POLK",321
"322","Administrative Services, Department of","WAREHOUSE OPERATIONS WOR","WARREN",322
"323","Administrative Services, Department of","WORD PROCESSOR 2","POLK",323
"324","Administrative Services, Department of","WORKFORCE PROGRAM COORDI","POLK",324
"325","Administrative Services, Department of ","ACCOUNTANT 2","POLK",325
"326","Administrative Services, Department of ","ACCOUNTANT 2","WARREN",326
"327","Administrative Services, Department of ","ACCOUNTANT 3","POLK",327
"328","Administrative Services, Department of ","ACCOUNTANT 4","POLK",328
"329","Administrative Services, Department of ","ACCOUNTING CLERK 2","POLK",329
"330","Administrative Services, Department of ","ACCOUNTING CLERK 3","POLK",330
"331","Administrative Services, Department of ","ACCOUNTING CLERK 3","WARREN",331
"332","Administrative Services, Department of ","ACCOUNTING TECHNICIAN 2","MARION",332
"333","Administrative Services, Department of ","ACCOUNTING TECHNICIAN 2","POLK",333
"334","Administrative Services, Department of ","ACCOUNTING TECHNICIAN 3","BOONE",334
"335","Administrative Services, Department of ","ACCOUNTING TECHNICIAN 3","POLK",335
"336","Administrative Services, Department of ","ACCOUNTING TECHNICIAN 3","WARREN",336
"337","Administrative Services, Department of ","ADMIN ASSISTANT 1","DALLAS",337
"338","Administrative Services, Department of ","ADMIN ASSISTANT 1","POLK",338
"339","Administrative Services, Department of ","ADMIN ASSISTANT 2","POLK",339
"340","Administrative Services, Department of ","ADMIN INTERN","POLK",340
"341","Administrative Services, Department of ","ADMIN INTERN","STORY",341
"342","Administrative Services, Department of ","ADMIN LAW JUDGE 2","POLK",342
"343","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","DALLAS",343
"344","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","JOHNSON",344
"345","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","MILLS",345
"346","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","MITCHELL",346
"347","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","POLK",347
"348","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","STORY",348
"349","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","WARREN",349
"350","Administrative Services, Department of ","ADVANCED PERSONNEL MGMT","WOODBURY",350
"351","Administrative Services, Department of ","ARCHITECTURAL TECHNICIAN","POLK",351
"352","Administrative Services, Department of ","ATTORNEY 2","DALLAS",352
"353","Administrative Services, Department of ","ATTORNEY 2","JOHNSON",353
"354","Administrative Services, Department of ","ATTORNEY 2","POLK",354
"355","Administrative Services, Department of ","ATTORNEY 2","STORY",355
"356","Administrative Services, Department of ","ATTORNEY 3","MADISON",356
"357","Administrative Services, Department of ","ATTORNEY 3","POLK",357
"358","Administrative Services, Department of ","AUTOMOTIVE SERVICE WORKE","POLK",358
"359","Administrative Services, Department of ","AUTOMOTIVE SHOP SUPERVIS","POLK",359
"360","Administrative Services, Department of ","BUDGET ANALYST 2","POLK",360
"361","Administrative Services, Department of ","BUDGET ANALYST 3","POLK",361
"362","Administrative Services, Department of ","BUDGET ANALYST 3","WARREN",362
"363","Administrative Services, Department of ","BUDGET ANALYST 4","POLK",363
"364","Administrative Services, Department of ","CARPENTER 1","POLK",364
"365","Administrative Services, Department of ","CARPENTER 2","POLK",365
"366","Administrative Services, Department of ","CLERK","POLK",366
"367","Administrative Services, Department of ","CLERK-ADVANCED","POLK",367
"368","Administrative Services, Department of ","CLERK-SPECIALIST","MADISON",368
"369","Administrative Services, Department of ","CLERK-SPECIALIST","POLK",369
"370","Administrative Services, Department of ","CLERK-SPECIALIST","WARREN",370
"371","Administrative Services, Department of ","CONSTRUCTION TECHNICIAN","POLK",371
"372","Administrative Services, Department of ","CONSTRUCTION/DESIGN ENGI","MADISON",372
"373","Administrative Services, Department of ","CONSTRUCTION/DESIGN ENGN","GUTHRIE",373
"374","Administrative Services, Department of ","CONSTRUCTION/DESIGN ENGN","POLK",374
"375","Administrative Services, Department of ","CUSTODIAL LEADER","POLK",375
"376","Administrative Services, Department of ","CUSTODIAL SUPERVISOR","POLK",376
"377","Administrative Services, Department of ","CUSTODIAL WORKER","DALLAS",377
"378","Administrative Services, Department of ","CUSTODIAL WORKER","MARION",378
"379","Administrative Services, Department of ","CUSTODIAL WORKER","POLK",379
"380","Administrative Services, Department of ","CUSTODIAL WORKER","WARREN",380
"381","Administrative Services, Department of ","DIR DEPT ADMINISTRATIVE","DALLAS",381
"382","Administrative Services, Department of ","DIR DEPT ADMINISTRATIVE","WARREN",382
"383","Administrative Services, Department of ","DRIVER","POLK",383
"384","Administrative Services, Department of ","EARLY OUT POSITION","",384
"385","Administrative Services, Department of ","EARLY OUT POSITION","ADAIR",385
"386","Administrative Services, Department of ","EARLY OUT POSITION","ALLAMAKEE",386
"387","Administrative Services, Department of ","EARLY OUT POSITION","APPANOOSE",387
"388","Administrative Services, Department of ","EARLY OUT POSITION","BENTON",388
"389","Administrative Services, Department of ","EARLY OUT POSITION","BLACK HAWK",389
"390","Administrative Services, Department of ","EARLY OUT POSITION","BOONE",390
"391","Administrative Services, Department of ","EARLY OUT POSITION","BREMER",391
"392","Administrative Services, Department of ","EARLY OUT POSITION","BUCHANAN",392
"393","Administrative Services, Department of ","EARLY OUT POSITION","BUENA VISTA",393
"394","Administrative Services, Department of ","EARLY OUT POSITION","CALHOUN",394
"395","Administrative Services, Department of ","EARLY OUT POSITION","CARROLL",395
"396","Administrative Services, Department of ","EARLY OUT POSITION","CASS",396
